"Species","SASAP.Region","YEAR","median_wgt","p05_wgt","p95_wgt"
"chinook","Copper River",1976,28.4439920462077,28.4439920462077,28.4439920462077
"chinook","Copper River",1977,28.4523638000901,28.4523638000901,28.4523638000901
"chinook","Copper River",1978,27.3308270676692,27.3308270676692,27.3308270676692
"chinook","Copper River",1979,27.4241316270567,27.4241316270567,27.4241316270567
"chinook","Copper River",1980,29.1682044002839,29.1682044002839,29.1682044002839
"chinook","Copper River",1981,25.9886642457552,25.9886642457552,25.9886642457552
"chinook","Copper River",1982,26.1372256641815,26.1372256641815,26.1372256641815
"chinook","Copper River",1983,25.8779222731715,25.8779222731715,25.8779222731715
"chinook","Copper River",1984,29.1868866629379,29.1868866629379,29.1868866629379
"chinook","Copper River",1985,27.832036041136,27.832036041136,27.832036041136
"chinook","Copper River",1986,26.2562870728957,26.2562870728957,26.2562870728957
"chinook","Copper River",1987,27.4754873294347,27.4754873294347,27.4754873294347
"chinook","Copper River",1988,26.7704161248374,26.7704161248374,26.7704161248374
"chinook","Copper River",1989,26.6411484802382,26.6411484802382,26.6411484802382
"chinook","Copper River",1990,25.9463068705102,25.9463068705102,25.9463068705102
"chinook","Copper River",1991,22.7156110871751,22.7156110871751,22.7156110871751
"chinook","Copper River",1992,25.0606813788255,25.0606813788255,25.0606813788255
"chinook","Copper River",1993,21.5236292996617,21.5236292996617,21.5236292996617
"chinook","Copper River",1994,22.784748421008,22.784748421008,22.784748421008
"chinook","Copper River",1995,24.8284210045801,24.8284210045801,24.8284210045801
"chinook","Copper River",1996,24.8594436572986,24.8594436572986,24.8594436572986
"chinook","Copper River",1997,23.4176933873986,23.4176933873986,23.4176933873986
"chinook","Copper River",1998,22.5927947281331,22.5927947281331,22.5927947281331
"chinook","Copper River",1999,21.5714102502445,21.5714102502445,21.5714102502445
"chinook","Copper River",2000,21.1249879942372,21.1249879942372,21.1249879942372
"chinook","Copper River",2001,21.2692492234652,21.2692492234652,21.2692492234652
"chinook","Copper River",2002,20.600552743052,20.600552743052,20.600552743052
"chinook","Copper River",2003,22.840237921319,22.840237921319,22.840237921319
"chinook","Copper River",2004,22.5731799764737,22.5731799764737,22.5731799764737
"chinook","Copper River",2005,21.7502005730659,21.7502005730659,21.7502005730659
"chinook","Copper River",2006,20.492651882955,20.492651882955,20.492651882955
"chinook","Copper River",2007,22.0382563866983,22.0382563866983,22.0382563866983
"chinook","Copper River",2008,21.9893839192482,21.9893839192482,21.9893839192482
"chinook","Copper River",2009,18.9162087912088,18.9162087912088,18.9162087912088
"chinook","Copper River",2010,19.8854328667703,19.8854328667703,19.8854328667703
"chinook","Copper River",2011,20.433165774823,20.433165774823,20.433165774823
"chinook","Copper River",2012,21.2611578678908,21.2611578678908,21.2611578678908
"chinook","Copper River",2013,18.7798009500113,18.7798009500113,18.7798009500113
"chinook","Copper River",2014,17.8314881943764,17.8314881943764,17.8314881943764
"chinook","Copper River",2015,17.2482792308717,17.2482792308717,17.2482792308717
"chinook","Copper River",2016,17.7824193548387,17.7824193548387,17.7824193548387
"chinook","Kodiak",1975,14.7951219512195,12.459512195122,17.1307317073171
"chinook","Kodiak",1976,18.2735294117647,15.8028246392897,24.6273529411765
"chinook","Kodiak",1977,21.3073620201458,20.6121315508518,22.0025924894397
"chinook","Kodiak",1978,12.2321075523923,11.3833171382179,16.1575857552392
"chinook","Kodiak",1979,19.4494382022472,14.9954820977367,20.2449438202247
"chinook","Kodiak",1980,19.5,15.1068093385214,20.5973076923077
"chinook","Kodiak",1981,18.6900826446281,12.0553719008264,18.7367247998959
"chinook","Kodiak",1982,12.4294871794872,8.44294871794872,13.0002671537029
"chinook","Kodiak",1983,13.2173350582147,11.7946877360573,17.6853698694578
"chinook","Kodiak",1984,20.2217453505007,15.3534245350501,21.4431669014623
"chinook","Kodiak",1985,19.7997759668577,19.2925186341119,20.3070332996035
"chinook","Kodiak",1986,16.5817610062893,15.2701751110198,22.8724618149146
"chinook","Kodiak",1987,13.5,12.81076729847,14.185807860262
"chinook","Kodiak",1988,17.351279788173,13.4210668063449,17.5271279788173
"chinook","Kodiak",1989,19.2169811320755,19.2169811320755,19.2169811320755
"chinook","Kodiak",1990,12.1880697356427,12.1311222445002,16.4714385525116
"chinook","Kodiak",1991,12.1918367346939,12.1409281920585,12.950218156228
"chinook","Kodiak",1992,14.5991575481747,12.539793803598,18.8643933667578
"chinook","Kodiak",1993,11.8463397691664,11.5645644520035,12.1281150863292
"chinook","Kodiak",1994,14.8406240678213,13.8437749886572,15.8374731469853
"chinook","Kodiak",1995,13.7882399914574,13.7770952361055,13.7993847468093
"chinook","Kodiak",1996,11.9995974481187,9.68901210309832,14.310182793139
"chinook","Kodiak",1997,9.92038752728882,9.87422379209896,9.96655126247869
"chinook","Kodiak",1998,14.2012581935268,13.9899514787179,14.4125649083357
"chinook","Kodiak",1999,12.9815380361276,12.680652605721,13.2824234665341
